sample	medianCoverage	%Coverage>10x
210940	791.73	94.97
211019	222.86	87.62
211026	157.34	82.93
211023	176.82	83.6
211020	514.82	93.64
211022	230.32	87.62
211029	241.56	88.29
211030	246.02	90.96
211031	250.44	88.29
211027	1098.83	96.98
211037	395.46	90.29
211032	859	94.97
211028	657.28	95.64
211039	769.26	95.64
211043	333.26	91.63
211047	354.88	90.29
211074	1399.36	96.31
211071	269.61	92.3
211090	295.55	90.29
211046	467.73	95.64
211084	428.56	90.96
211092	3528.98	98.32
211095	1203.66	95.64
211091	1597.86	96.98
211107	335.91	90.96
211114	2.15	35.45
211115	927.08	95.64
211101	1083.1	96.98
211104	227.22	85.61
211125	222.3	90.96
211131	1667.24	98.99
211114_2	203.4	90.29
211127	2477.56	99.66
211130	132	83.95
211147_2	446.05	94.3
211278	810.26	92.97
211285	7975.59	99.66
211202_2	27.2	68.22
211227_2	1706.49	99.66
211284	8101.95	99.66
211288	1266.97	97.65
211282	3447.5	98.99
211289	928.32	98.32
211287	5098.04	99.66
211290	6126.25	99.66
211292	943.92	95.64
211291	894.06	95.64
211300	1564.6	97.65
211294	1141.03	97.65
211296	2420.66	98.99
211305	3545.06	98.99
211324	1282.16	98.32
211303	811.14	96.98
211297	2931.29	99.66
211323	4709.22	99.66
211335	2583.54	98.99
211340	6011.54	99.66
211325	4419.48	99.66
211342	5852.1	99.66
211337	8042.04	99.66
211343	6872.64	99.66
211344	1772.91	99.33
211348	797.13	96.31
211361	2511.46	98.99
211352	4722.57	99.66
211347	1025.26	94.97
211353	1883.17	98.32
211364	3826.56	99.66
211361_B	6035.22	99.66
211390	1838.78	98.99
211366	240.39	82.93
211391	6208.8	99.66
211359	359.18	85.61
211394	7737.54	99.66
211397	4832.76	99.66
211404	1838.4	98.32
211403	4555.27	99.66
211398	1264.45	97.65
211400	773.64	96.98
211405	6134.3	100
211409	1560.73	97.65
211410	1657.69	97.65
211408	2655.1	98.99
211412	831.58	96.98
211413	819.08	95.64
211415	2000.22	97.65
211418	137.02	82.27
211414	836.26	96.31
211419	5475.26	99.66
211411	4813.68	99.66
211422	1972.01	98.99
211426	1317.14	97.65
211423	386.58	96.31
211420	461.65	93.64
211428	4059.64	100
211425	2238.06	99.33
211487	2325.07	98.99
211489	7895.51	99.66
211493	2198.44	98.32
211488	1427.32	98.32
211495	3841.05	99.66
211430	7566.36	99.66
211499	1685.45	96.98
211496	7634	99.66
211500	2805.4	99.66
211498	6103.26	99.66
211497	8306.42	100
211501	1267.46	97.65
211503	1763.48	97.65
211506	4697.08	99.66
211509	5666.49	99.66
211505	1790.72	98.99
211512	2910.34	100
211511	5168.42	99.66
211507	4355.32	99.66
211513	6102.66	99.66
211510	2263.98	98.99
211517	7725.44	100
211514	419.6	90.29
211518	4280.88	99.66
211521	456.86	88.95
211516	6202.2	99.66
211519	4173.88	99.66
211522	785.58	94.97
211524	6975.52	100
211541	445.85	94.97
211533	1023.22	96.31
211550	717.9	94.97
211526	2299.12	98.99
211548	311.64	89.3
211558	574.37	97.32
211544	859.55	94.97
211560	436.42	95.64
211554	829.63	96.31
211562	1591.18	98.66
211563	197.41	84.94
211561	822.42	96.31
211571	1893.58	98.32
211566	2489.05	98.99
211568	3813.34	99.66
211570	1671.64	98.99
211577	273.61	90.96
211573	3514.54	99.66
211578	1069.97	96.98
211572	865.48	96.98
211579	1138.49	98.99
211580	3198.02	99.66
211581	971.49	96.31
211575	1174.61	98.32
211586	2347.95	98.32
211582	2282.48	98.99
211590	3353.34	98.99
211593	575.85	95.64
211594	2784.09	98.99
211587	4257.77	99.66
211597	7650.48	100
211598	4221.32	99.66
211599	607.46	95.64
211601	497.35	94.3
211595	3801.45	98.99
211605	3093.64	99.66
211602	1170.97	96.31
211604	255.21	88.29
211608	812.97	95.64
211603	834.49	96.31
211606	6815.03	99.66
211613	645.52	97.65
211607	1191.07	96.98
211611	335.7	92.97
211627	404.79	93.64
211626	1849.16	98.99
211614	1738.85	98.99
211632	1938.99	98.99
211625	2379.07	98.99
211628	1274.3	98.32
211633	335.16	92.3
211631	1590.33	98.99
211629	335.67	92.97
211637	1043.51	96.98
211642	882.08	96.98
211647	4004.07	99.66
211638	209.87	86.28
211678	248.85	92.97
211676	248.76	92.64
211682	2244.76	98.99
211680	599.18	92.64
211685	1013.2	99.66
211641	538.78	92.97
211686	1658.13	98.99
211687	607.4	96.31
211693	293.85	90.29
211690	2131.14	98.99
211696	2523.45	98.99
211695	181.48	89.62
211697	2128.44	98.99
211698	611.58	96.98
211702	2948.24	98.99
211699	1930.53	98.99
211700	5254.62	99.66
211704	3596.2	100
211705	1672.84	98.32
211707	4459.33	99.66
211706	695.92	97.65
211708	7166.18	99.66
211709	3514.78	99.66
211713	2193.65	98.99
211714	112.97	88.95
211716	713.24	95.64
211719	276.96	92.3
211712	242.28	86.95
211715	332.04	92.3
211711	145.5	84.27
211718	2093.76	98.99
211717	5225.9	99.66
211722	1355.05	98.99
211725	428.23	92.97
211726	5250.86	99.66
211721	259.96	89.62
211728	190.65	89.62
211731	186.48	88.95
211734	2183.42	99.33
211723	571	94.97
211736	531.19	94.3
211732	1102.03	98.32
211742	863.84	98.32
211737	2909.44	98.99
211743	3739.27	99.66
211739	1086.39	96.98
211733	301.81	91.63
211747	1343.88	97.65
211746	464.97	95.64
211764	381.18	92.3
211756	233.3	93.64
211766	633.01	96.98
211761	4437.78	99.66
211765	551.41	96.31
211770	64.25	78.25
211769	112.06	82.27
211768	362.26	93.64
211767	114.97	85.61
211771	193.74	90.96
211774	1328.36	99.66
211773	608.47	95.64
211776	246.23	90.29
211779	339.35	93.64
211780	644.94	96.31
211781	304.1	93.64
211777	817.48	98.99
211775	238.46	92.3
211783	546.85	96.98
211785	930.06	98.99
211784	201.51	92.97
211797	955.19	98.32
211798	758.26	95.64
211786	998.12	98.99
211801	76.89	83.6
211782	902.02	97.65
211796	1100.97	97.65
211804	90.32	82.93
211803	315.54	94.3
211799	448.5	93.64
211806	207	91.63
211816	3719.72	99.66
211808	603.88	96.31
211817	3206.36	99.66
211809	173.1	90.29
211819	499.62	96.31
211822	160.89	89.62
211807	164.06	88.95
211824	1162.77	98.99
211820	78.4	83.6
211818	1278.98	99.66
211825	620.26	95.64
211827	579.38	95.64
211830	168.28	86.95
211829	624.1	96.31
211843	193.66	92.3
211831	346.49	94.3
